CRED_APR,RISC_ATUAL,PAGO_DIA,PAGO_ATR,VOL_OPER,VOL_OPER_MED,QTD_TITU_OPER,VOL_TOT_OPER,RECOMP,TICK_MED_CED,L1,L2,L3,L4,L5,VALO_TITU_ORIG,VALO_ABER,VALO_LIQU_CEDE,VALO_LIQU,TICK_MED_SACA,VOL_NEG,REL_TITU_TICK,REL_TITU_LIM,REJEITADO,label
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,79.398,20.6019,0,0,0,430.16,0.00,1908.54,4134.03,243.2235,4134.80,74.2917,0.0143,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,79.398,20.6019,0,0,0,430.17,0.00,1908.54,4134.03,243.2235,4134.80,74.2934,0.0143,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,96.4137,3.5862,0,3.594,0,394.87,14191.91,11809.39,72674.40,600.6434,22824.45,68.1969,0.0131,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,96.4137,3.5862,0,3.594,0,394.88,14191.91,11809.39,72674.40,600.6434,22824.45,68.1986,0.0131,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,86.7933,13.2066,0,1.217,0.8142,882.34,874.60,69978.52,120402.36,558.5629,43009.35,152.3865,0.0294,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,86.7933,13.2066,0,1.217,0.8142,882.34,874.60,69978.52,120402.36,558.5629,43009.35,152.3865,0.0294,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,86.7933,13.2066,0,1.217,0.8142,882.35,874.60,69978.52,120402.36,558.5629,43009.35,152.3882,0.0294,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,95.3343,4.6656,0,0,0,443.62,1024.92,18415.64,31785.57,363.465,7996.23,76.6164,0.0147,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,95.3343,4.6656,0,0,0,443.62,1024.92,18415.64,31785.57,363.465,7996.23,76.6164,0.0147,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,95.3343,4.6656,0,0,0,443.63,1024.92,18415.64,31785.57,363.465,7996.23,76.6181,0.0147,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,89.8444,10.1555,0,4.4468,2.6621,182.16,8451.42,210214.20,560272.57,592.3455,64565.67,31.4603,0.006,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,89.8444,10.1555,0,4.4468,2.6621,270.22,8451.42,210214.20,560272.57,592.3455,64565.67,46.6689,0.009,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,99.6999,0.3,0,0.3,0.3,702.95,0.00,26030.59,33059.95,487.8275,5853.93,121.4045,0.0234,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,87.5035,12.4964,0,0,0,855.45,531.00,22351.71,26503.14,1260.645,7563.87,147.7424,0.0285,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,100,0,0,0,0,731.79,0.00,722.34,5035.69,423.76,2966.32,126.3854,0.0243,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,56.9651,43.0348,0,2.8652,1.7413,549.23,0.00,7267.04,24735.14,365.596,7311.92,94.856,0.0183,1,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,56.9651,43.0348,0,2.8652,1.7413,549.23,0.00,7267.04,24735.14,365.596,7311.92,94.856,0.0183,1,0
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,56.9651,43.0348,0,2.8652,1.7413,549.24,0.00,7267.04,24735.14,365.596,7311.92,94.8577,0.0183,1,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,92.7939,7.206,0,0.3604,0,306.65,0.00,28641.68,61925.58,337.6164,15192.74,52.9606,0.0102,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,92.7939,7.206,0,0.3604,0,306.65,0.00,28641.68,61925.58,337.6164,15192.74,52.9606,0.0102,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,92.7939,7.206,0,0.3604,0,306.67,0.00,28641.68,61925.58,337.6164,15192.74,52.9641,0.0102,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,97.8461,2.1538,0,0,0,398.52,352.80,17594.64,30791.44,311.4743,9967.18,68.8273,0.0132,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,45.4875,54.5124,0,43.2392,43.2392,522.00,522.99,177764.35,190296.09,1340.8266,20112.40,90.1531,0.0174,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,52.9118,47.0881,0,0,0,2034.45,12752.29,100649.23,164089.68,1633.7357,57180.75,351.3643,0.0678,1,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,52.9118,47.0881,0,0,0,2034.45,12752.29,100649.23,164089.68,1633.7357,57180.75,351.3643,0.0678,1,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,52.9118,47.0881,0,0,0,2034.45,12752.29,100649.23,164089.68,1633.7357,57180.75,351.3643,0.0678,1,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,71.5413,28.4586,0,3.263,0,267.54,0.00,3277.52,23584.23,360.9866,4331.84,46.2061,0.0089,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,71.5413,28.4586,0,3.263,0,267.55,0.00,3277.52,23584.23,360.9866,4331.84,46.2078,0.0089,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,100,0,0,0,0,790.90,1062.00,9831.96,10478.10,893.8145,9831.96,136.5941,0.0263,1,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,100,0,0,0,0,790.90,1062.00,9831.96,10478.10,893.8145,9831.96,136.5941,0.0263,1,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,100,0,0,0,0,790.91,1062.00,9831.96,10478.10,893.8145,9831.96,136.5959,0.0263,1,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,98.2746,1.7253,0,0,0,606.78,3477.06,34398.30,72062.49,880.9418,9690.36,104.7953,0.0202,0,1
